#MJD mag magerr flux fluxerr
59079.2158087976 -0.3628696852 0.0317953657 1.3968438952 0.0409073984
59079.2158203853 -0.3345299736 0.0318701652 1.3608554266 0.0399472113
59079.215831973 -0.3448944441 0.0314562105 1.3739083964 0.0398065319
59079.2158435606 -0.3424444773 0.0318642946 1.3708116634 0.0402320592
59079.2158551483 -0.3852804636 0.0322350474 1.4259758991 0.0423380314
59079.215866736 -0.3532295981 0.0316433361 1.3844964269 0.0403519258
59079.2158783237 -0.3414784506 0.0320513484 1.3695925351 0.0404322442
59079.2158899114 -0.361318369 0.0314993894 1.3948494888 0.0404687365
59079.2159014991 -0.3581296388 0.0313388062 1.3907589246 0.0401443533
59079.2159130868 -0.3682085993 0.0318532761 1.4037295415 0.0411839225
59079.2159246744 -0.3477652194 0.0316442806 1.3775459293 0.0401505479
59079.2159362621 -0.3479578736 0.0314202289 1.3777903842 0.0398733437
59079.2159478498 -0.3613932494 0.0316553379 1.3949456913 0.0406718958
59079.2159594375 -0.386656729 0.0318453122 1.4277845942 0.0418791988
59079.2159710252 -0.3081697331 0.0310396172 1.3282135096 0.0379729566
59079.2159826129 -0.3457844366 0.0314668051 1.3750350691 0.0398525932
59079.2159942006 -0.3373104702 0.0315598872 1.364344951 0.0396597336
59079.2160057882 -0.3652123901 0.031368225 1.3998611346 0.0404450207
59079.2160173759 -0.345198718 0.031560306 1.3742934835 0.0399494546
59079.2160289636 -0.3682855958 0.0315071356 1.4038290924 0.0407392775
59079.2160405513 -0.3322343092 0.0309868982 1.3579810939 0.0387580565
59079.216052139 -0.3326484564 0.0310680407 1.3584991861 0.0388743742
59079.2160637267 -0.3499113296 0.0312543668 1.3802715353 0.0397342847
59079.2160753143 -0.3027818668 0.0318930735 1.3216386988 0.038823911
59079.216086902 -0.3317078495 0.0311845976 1.3573227858 0.038986428
59079.2160984897 -0.3934364537 0.0318818911 1.4367280853 0.0421899313
59079.2161100774 -0.3557474095 0.0312905445 1.3877107858 0.0399946818
59079.2161216651 -0.3688846612 0.0318599039 1.4046038824 0.0412181493
59079.2161332528 -0.3678314357 0.0319879721 1.4032419979 0.0413437099
59079.2161448405 -0.3109944696 0.0315197896 1.3316735932 0.0386608377
59079.2161564281 -0.3401516681 0.0316373054 1.367919899 0.0398611952
59079.2161680158 -0.3249617139 0.0310502517 1.3489153152 0.0385780234
59079.2161796035 -0.329059189 0.0315151031 1.3540156237 0.0393036217
59079.2161911912 -0.3732612924 0.0315273089 1.4102773047 0.0409526096
59079.2162027789 -0.3697696878 0.0317171969 1.4057492974 0.0410669865
59079.2162143666 -0.3644018231 0.0316690108 1.3988164446 0.04080237
59079.2162259543 -0.3818251164 0.0322000998 1.4214449554 0.0421577502
59079.2162375419 -0.3178505922 0.030949317 1.3401093487 0.0382015925
59079.2162491296 -0.3595064849 0.0317418469 1.3925236955 0.0407122353
59079.2162607173 -0.3839646898 0.0313923062 1.424248845 0.0411812249
59079.216272305 -0.347244079 0.031592547 1.3768848824 0.0400656722
59079.2162838927 -0.3647256145 0.031133856 1.3992336658 0.0401248407
59079.2162954804 -0.3391782089 0.0312787561 1.3666939866 0.0393741253
59079.2163070681 -0.3751560025 0.03193048 1.4127405177 0.0415487545
59079.2163186557 -0.3141926739 0.0311142356 1.3356020272 0.0382759843
59079.2163302434 -0.3633127507 0.0314452165 1.3974140334 0.0404734152
59079.2163418311 -0.3582353854 0.0311564158 1.3908943858 0.0399146024
59079.2163534188 -0.355955483 0.0317664366 1.387976756 0.0406107355
59079.2163650065 -0.3583874545 0.0307614897 1.3910892093 0.0394141811
59079.2163765942 -0.3475132012 0.0314147512 1.3772262141 0.0398500681
59079.2163881818 -0.3727109836 0.0312715816 1.4095626824 0.0405998475
59079.2163997695 -0.3560172724 0.0317429387 1.3880557482 0.040583005
59079.2164113572 -0.3366477875 0.0310376885 1.3635124727 0.0389797139
59079.2164229449 -0.3387152523 0.0310286957 1.3661113542 0.0390426945
59079.2164345326 -0.3085040032 0.0310100067 1.3286224952 0.0379484134
59079.2164461203 -0.3500837667 0.0311253821 1.3804907681 0.0395765889
59079.216457708 -0.3321866569 0.0308401888 1.3579214944 0.038572861
59079.2164692956 -0.3548773663 0.0310616528 1.3865992039 0.0396703169
59079.2164808833 -0.3738200728 0.0317629746 1.4110032989 0.0412799686
59079.216492471 -0.3430446887 0.0312166537 1.3715696783 0.0394361386
59079.2165040587 -0.4029578227 0.0315393757 1.4493828865 0.0421042934
59079.2165156464 -0.3635949821 0.031466387 1.3977773309 0.0405111931
59079.2165272341 -0.3766304139 0.0314922093 1.4146602986 0.0410341514
59079.2165388218 -0.3304124344 0.031165739 1.3557043007 0.0389163917
59079.2165504094 -0.372430029 0.0314205969 1.4091979788 0.0407827592
59079.2165619971 -0.3993320022 0.031463136 1.4445507393 0.0418624817
59079.2165735848 -0.3592161535 0.0314058845 1.3921513774 0.0402705585
59079.2165851725 -0.3580548262 0.0313340602 1.3906630978 0.0401355082
59079.2165967602 -0.3455139428 0.0309631611 1.3746925439 0.0392049614
59079.2166083479 -0.3338157855 0.0313371267 1.3599605617 0.0392532527
59079.2166199356 -0.350171922 0.0309638518 1.3806028602 0.0393743966
59079.2166315232 -0.3474051638 0.0312439347 1.3770891785 0.0396294413
59079.2166431109 -0.343189544 0.0313059387 1.3717526807 0.0395542095
59079.2166546986 -0.3689421897 0.0312133665 1.4046783083 0.0403838435
59079.2166662863 -0.3220657998 0.0307622896 1.3453222343 0.0381184417
59079.216677874 -0.3804278652 0.0313572882 1.4196168518 0.0410015057
59079.2166894617 -0.3347438041 0.0308584594 1.3611234669 0.0386867212
59079.2167010494 -0.3860155444 0.0314770675 1.4269416608 0.0413704882
59079.216712637 -0.3553363596 0.0310918314 1.3871855106 0.0397256498
59079.2167242247 -0.3227523198 0.0308332162 1.3461731618 0.0382304947
59079.2167358124 -0.3496562986 0.0314709231 1.3799473584 0.0400002
59079.2167474001 -0.3486507698 0.0309423878 1.3786699445 0.0392920144
59079.2167589878 -0.3199126018 0.031261536 1.3426568773 0.0386603263
59079.2167705755 -0.3171073337 0.0310993373 1.3391922689 0.0383604975
59079.2167821631 -0.3478859208 0.0311093234 1.3776990798 0.0394761778
59079.2167937508 -0.3553068468 0.0315768229 1.3871478042 0.0403442208
59079.2168053385 -0.3218641673 0.0309178249 1.3450724172 0.0383040559
59079.2168169262 -0.3492417094 0.0310784859 1.3794205249 0.0394863235
59079.2168379977 -0.3436600126 0.0311558873 1.3723472141 0.0393816847
59079.2168495854 -0.361133086 0.031441272 1.3946114754 0.0403871777
59079.2168611731 -0.2927329979 0.0307906201 1.3094629022 0.0371365706
59079.2168727607 -0.3211465272 0.0312692843 1.3441836572 0.0387138813
59079.2168843484 -0.3371701963 0.0312282687 1.3641686931 0.0392379354
59079.2168959361 -0.3630195266 0.0318749521 1.3970366855 0.0410154531
59079.2169075238 -0.3064926031 0.0308739988 1.3261634102 0.0377120453
59079.2169191115 -0.3357429031 0.0313969925 1.3623765548 0.0393981086
59079.2169306992 -0.3514134838 0.0315241281 1.3821825112 0.0401327241
59079.2169422869 -0.3461810397 0.0315700999 1.3755374405 0.0399980237
59079.2169538745 -0.3419228224 0.0311510265 1.3701531987 0.0393125896
59079.2169654622 -0.3480251928 0.031107423 1.3778758145 0.03947883
59079.2169770499 -0.3407617525 0.030979302 1.3686887609 0.0390540873
59079.2169886376 -0.3671411509 0.031156885 1.4023501341 0.0402439549
59079.2170002253 -0.3362654311 0.0311489071 1.3630323783 0.0391056175
59079.217011813 -0.3445277195 0.0307921627 1.3734444153 0.0389530477
59079.2170234006 -0.3620016152 0.0314620125 1.395727534 0.0404461611
59079.2170349883 -0.3200256993 0.0314882281 1.3427967447 0.0389447271
59079.217046576 -0.3635475418 0.0314567204 1.3977162577 0.0404969785
59079.2170581637 -0.3392467283 0.0313268218 1.3667802397 0.0394371199
59079.2170697514 -0.3901773231 0.0313596638 1.4324218241 0.0413744744
59079.2170813391 -0.3573895653 0.0319751244 1.3898112606 0.0409315538
59079.2170929268 -0.3633068763 0.0314352264 1.3974064725 0.0404603379
