#MJD mag magerr flux fluxerr
59079.2164063208 2.63743098 0.0154094899 0.0881104883 0.0012505643
59079.2164179021 2.6303713141 0.0154031649 0.0886852663 0.0012582056
59079.2164294834 2.6135289964 0.0152520134 0.0900717087 0.0012653356
59079.2164410647 2.6327803524 0.0153893341 0.088488709 0.0012542897
59079.2164526459 2.6148104 0.0152004799 0.0899654673 0.0012595729
59079.2164642272 2.6118764776 0.0152487701 0.0902089045 0.0012669935
59079.2164758085 2.6389408374 0.0155211653 0.0879880443 0.0012578769
59079.2164873898 2.6241839552 0.0153455581 0.0891921059 0.0012606638
59079.2164989711 2.6364956501 0.0153847756 0.0881864256 0.0012496347
59079.2165105524 2.6491437303 0.0156185548 0.0871650749 0.0012539306
59079.2165221336 2.6227228739 0.0153334651 0.089312213 0.0012613666
59079.2165337149 2.637622301 0.015378832 0.0880949634 0.0012478563
59079.2165452962 2.6209429829 0.0152930965 0.0894587461 0.0012601098
59079.2165568775 2.6154578883 0.0152384391 0.0899118316 0.0012619655
59079.2165684588 2.6272597509 0.0152684621 0.08893979 0.0012507818
59079.2165800401 2.6299123065 0.0153916555 0.0887227669 0.0012577971
59079.2165916214 2.6405341138 0.0155178776 0.0878590199 0.0012557663
59079.2166032026 2.6419782339 0.01540389 0.0877422378 0.0012448851
59079.2166147839 2.6132867244 0.0152541933 0.0900918096 0.0012657989
59079.2166263652 2.6275566059 0.0153187279 0.088915476 0.0012545565
59079.2166379465 2.6303391941 0.0154252789 0.08868789 0.0012600492
59079.2166495278 2.6271004747 0.0153610035 0.0889528383 0.0012585473
59079.2166611091 2.6238382426 0.0153981261 0.0892205103 0.0012653852
59079.2166726903 2.6268044084 0.0153281211 0.0889770979 0.0012561958
59079.2166842716 2.6355527007 0.0154544881 0.0882630478 0.0012563878
59079.2166958529 2.6386020102 0.0154216914 0.0880155072 0.0012502054
59079.2167074342 2.6273611509 0.0152883587 0.088931484 0.0012522948
59079.2167190155 2.6259593977 0.0154215654 0.0890463743 0.0012648379
59079.2167305968 2.6119303648 0.0153127653 0.0902044274 0.0012722476
59079.2167421781 2.6300723418 0.0153131564 0.0887096903 0.0012511977
59079.2167537593 2.6212896366 0.0153609824 0.0894301883 0.0012652994
59079.2167653406 2.6432017403 0.0154787805 0.0876434175 0.0012495286
59079.2167769219 2.6254195947 0.0152795341 0.0890906571 0.001253812
59079.2167885032 2.6391704147 0.0154185176 0.0879694414 0.0012492939
59079.216809537 2.627789685 0.0153763752 0.0888963902 0.0012590073
59079.2168211183 2.6196286762 0.015409987 0.0895671034 0.0012712793
59079.2168326996 2.6334572364 0.0154139241 0.0884335594 0.0012555109
59079.2168442809 2.614873707 0.0152957464 0.0899602217 0.0012673931
59079.2168558622 2.6271858774 0.0154048824 0.0889458417 0.0012620431
59079.2168674435 2.6319575576 0.0154430785 0.0885557931 0.0012596243
59079.2168790247 2.6214854766 0.0152789462 0.0894140588 0.001258315
59079.216890606 2.635415929 0.0154753289 0.0882741671 0.0012582406
59079.2169021873 2.637516528 0.0154088472 0.0881035461 0.0012504136
59079.2169137686 2.6206242865 0.0153744242 0.0894850089 0.0012671829
59079.2169253499 2.6316630839 0.0154824515 0.0885798145 0.0012631783
59079.2169369312 2.6263338619 0.015355445 0.089015668 0.0012589806
59079.2169485125 2.6176341137 0.0152680671 0.0897317948 0.0012618873
59079.2169600937 2.6348467093 0.0155006868 0.0883204588 0.0012609632
59079.216971675 2.6208525685 0.0152889706 0.0894661961 0.0012598748
59079.2169832563 2.6248934657 0.0154236712 0.0891338393 0.0012662531
59079.2169948376 2.6191852292 0.0152292689 0.0896036928 0.0012568838
59079.2170064189 2.6332347753 0.0153955701 0.0884516808 0.0012542729
59079.2170180002 2.6492501448 0.0156079916 0.0871565322 0.0012529598
59079.2170295814 2.6188769004 0.0152761634 0.0896291422 0.0012611121
59079.2170411627 2.6392767869 0.0154913794 0.0879608232 0.0012550746
59079.217052744 2.6361805569 0.0154622318 0.088212022 0.0012562906
59079.2170643253 2.6520947166 0.0156254138 0.0869284855 0.0012510763
59079.2170759066 2.6438962108 0.015536971 0.087587376 0.0012534241
59079.2170874879 2.6449564986 0.0156152918 0.0875018833 0.0012585129
59079.2170990692 2.6074102733 0.0152639336 0.0905807455 0.0012734811
59079.2171106504 2.6379740727 0.0154574873 0.0880664258 0.0012538322
59079.2171222317 2.6403684756 0.0154854558 0.0878724246 0.0012533338
59079.217133813 2.6518884868 0.0155149549 0.0869449987 0.0012424682
59079.2171453943 2.6235858007 0.01540997 0.0892412572 0.0012666529
59079.2171569756 2.6167842556 0.0152071759 0.0898020597 0.0012578389
59079.2171685569 2.6173758757 0.015278606 0.0897531397 0.0012630587
59079.2171801381 2.6207721507 0.0153513848 0.0894728229 0.0012651117
59079.2171917194 2.6393911739 0.015467902 0.0879515567 0.0012530405
59079.2172033007 2.630922691 0.015505004 0.0886402401 0.0012658813
59079.217214882 2.6306415084 0.0154118463 0.088663199 0.0012586015
59079.2172264633 2.6265315664 0.0154310473 0.0889994604 0.0012649488
59079.2172380446 2.6332788511 0.0154673805 0.0884480901 0.0012600721
59079.2172496258 2.6311835969 0.0153943283 0.0886189421 0.0012565433
59079.2172612071 2.6500273067 0.015579704 0.0870941685 0.001249794
59079.2172727884 2.632570597 0.0155140262 0.0885058059 0.0012646969
59079.2172843697 2.6263100093 0.0153342656 0.0890176236 0.0012572717
59079.217295951 2.6257510556 0.0153857351 0.0890634631 0.0012621413
59079.2173075323 2.6198453775 0.0154561773 0.0895492286 0.0012748354
59079.2173191136 2.6385557416 0.0154444003 0.088019258 0.0012520997
59079.2173306948 2.6406282199 0.015491389 0.0878514051 0.0012535141
59079.2173422761 2.6437656332 0.0155228241 0.0875979105 0.0012524334
59079.2173538574 2.6377102445 0.0155306574 0.0880878281 0.0012600736
59079.2173654387 2.6255210898 0.0153653238 0.0890823292 0.0012607339
59079.21737702 2.6276939287 0.0153459342 0.0889042307 0.0012566257
59079.2173886013 2.6173803076 0.0152848667 0.0897527733 0.0012635711
59079.2174001825 2.6408781448 0.0156470222 0.087831185 0.0012658161
59079.2174117638 2.6447508987 0.0155200985 0.0875184546 0.0012510777
